date,AAPL,AMZN,BND,GLD,JNJ,JPM,MSFT,VTI,PORTFOLIO,SPY
2025-10-03,0.497826,0.213030,0.108540,0.654362,0.347242,0.649154,0.300473,0.330635,0.424924,0.336344
2025-10-06,0.490106,0.220712,0.106004,0.685540,0.343814,0.652628,0.328677,0.335635,0.432429,0.341136
2025-10-07,0.488886,0.225575,0.108093,0.694236,0.349028,0.644664,0.317139,0.329223,0.429485,0.336164
2025-10-08,0.498058,0.244584,0.108093,0.722176,0.354741,0.625100,0.319326,0.338055,0.434866,0.344132
2025-10-09,0.474722,0.258510,0.107347,0.690397,0.364669,0.633118,0.313167,0.333417,0.429280,0.340238
2025-10-10,0.423812,0.195679,0.111673,0.707466,0.362098,0.608316,0.284410,0.297688,0.403207,0.304014
2025-10-13,0.437686,0.216125,0.113463,0.748959,0.363383,0.646160,0.292178,0.318376,0.421299,0.324023
2025-10-14,0.438324,0.195789,0.115104,0.761449,0.363026,0.614677,0.290971,0.317972,0.417294,0.322405
2025-10-15,0.447438,0.191258,0.114358,0.791979,0.365311,0.633973,0.290619,0.324223,0.424911,0.328276
2025-10-16,0.436467,0.185179,0.118535,0.833889,0.372096,0.595755,0.286044,0.313698,0.419019,0.319230
2025-10-17,0.464563,0.177277,0.117044,0.799380,0.379952,0.590517,0.290997,0.319868,0.422637,0.326719
2025-10-20,0.522324,0.196286,0.118535,0.864881,0.383523,0.616174,0.299065,0.334587,0.446194,0.340517
2025-10-21,0.525400,0.226956,0.119878,0.745027,0.370382,0.588005,0.301252,0.334425,0.434971,0.340497
2025-10-22,0.500323,0.204410,0.119878,0.745212,0.377953,0.572076,0.308492,0.326320,0.427921,0.333528
2025-10-23,0.506882,0.221762,0.117640,0.752197,0.374596,0.574375,0.308542,0.334829,0.432301,0.341436
2025-10-24,0.525691,0.239003,0.119132,0.746323,0.359812,0.605911,0.316209,0.345717,0.442380,0.352399
2025-10-27,0.560463,0.254255,0.119729,0.697706,0.359098,0.625742,0.336093,0.360718,0.453977,0.368354
2025-10-28,0.561566,0.266855,0.120325,0.685540,0.335030,0.632210,0.362612,0.362815,0.457108,0.371988
2025-10-29,0.565630,0.272657,0.114806,0.679156,0.332673,0.633011,0.361305,0.361847,0.456268,0.372647
2025-10-30,0.575498,0.231543,0.112866,0.712138,0.350171,0.654018,0.321614,0.347209,0.452536,0.357551
2025-10-31,0.569519,0.349580,0.112568,0.702840,0.348885,0.662998,0.301629,0.352612,0.456254,0.362004
2025-11-03,0.561856,0.403625,0.111281,0.705893,0.330245,0.653537,0.299669,0.354145,0.454924,0.364560
2025-11-04,0.567603,0.377763,0.111880,0.676011,0.334530,0.653002,0.292882,0.337772,0.447187,0.348385
2025-11-05,0.568184,0.382626,0.108737,0.695393,0.328388,0.665991,0.274858,0.343499,0.448297,0.353058
2025-11-06,0.566036,0.343059,0.113077,0.693357,0.335315,0.675292,0.249570,0.328215,0.440112,0.338540
2025-11-07,0.558489,0.350630,0.112478,0.703719,0.332459,0.679514,0.248866,0.331118,0.441057,0.339858
